STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/8/2019,0,",,S",88,"H,,S",94,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/9/2019,0,",,S",82,"H,,S",92,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/11/2019,1.02,",,S",83,"H,,S",92,",,S",,
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/14/2019,0,",,S",84,"H,,S",,,74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/15/2019,0.08,",,S",82,"H,,S",88,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/16/2019,0.2,",,S",85,"H,,S",91,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/17/2019,0,",,S",82,"H,,S",88,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/18/2019,0.2,",,S",80,"H,,S",85,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/19/2019,0.23,",,S",83,"H,,S",86,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/21/2019,0.01,",,S",83,"H,,S",89,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/22/2019,0.01,",,S",83,"H,,S",88,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/23/2019,0,",,S",83,"H,,S",,,77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/24/2019,0,",,S",85,"H,,S",,,77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/25/2019,0.13,",,S",82,"H,,S",88,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/27/2019,0.03,",,S",85,"H,,S",89,",,S",74,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/28/2019,0,",,S",84,"H,,S",89,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/29/2019,0,",,S",83,"H,,S",90,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/30/2019,0,",,S",85,"H,,S",92,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,7/31/2019,0,",,S",85,"H,,S",,,77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/1/2019,0,",,S",85,"H,,S",91,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/2/2019,0,",,S",87,"H,,S",91,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/5/2019,0,",,S",84,"H,,S",,,78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/6/2019,0.19,",,S",86,"H,,S",91,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/7/2019,0,",,S",83,"H,,S",,,78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/8/2019,0.98,",,S",81,"H,,S",87,",,S",73,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/9/2019,0.12,",,S",82,"H,,S",87,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/10/2019,0.55,",,S",80,"H,,S",82,",,S",76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/11/2019,0,",,S",83,"H,,S",,,76,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/12/2019,0,",,S",83,"H,,S",87,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/13/2019,0,",,S",80,"H,,S",84,",,S",77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/14/2019,0.33,",,S",82,"H,,S",87,",,S",75,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/15/2019,0,",,S",83,"H,,S",,,77,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/16/2019,0,",,S",86,"H,,S",90,",,S",78,",,S"
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116,8/18/2019,0,",,S",82,"H,,S",,,75,",,S"
