region,DATE,carbonmonoxide_average,nitrogendioxide_average,ozone_average
Kandy Proper,2021-10-31,0.025736432522535324,1.7918588127940893e-05,0.11739753186702728
Kandy Proper,2021-11-01,0.02846745029091835,2.1365738575696014e-05,0.11642830073833466
Kandy Proper,2021-11-02,0.02708984538912773,8.70017902343534e-06,0.11530712246894836
Kandy Proper,2021-11-03,0.03172855513791243,1.3033363757131156e-05,0.11788594722747803
Kandy Proper,2021-11-04,0.03482800101240476,1.6322132069035433e-05,0.11834658496081829
Kandy Proper,2021-11-05,0.02439982444047928,8.349778909177985e-06,0.11850264109671116
Kandy Proper,2021-11-06,0.026008237153291702,1.285699704567378e-05,0.11220249533653259
Kandy Proper,2021-11-07,0.02299400232732296,9.924511687131599e-06,0.11349964141845703
Kandy Proper,2021-11-08,0.030103007331490517,5.991526268189773e-05,0.11663706228137016
Kandy Proper,2021-11-09,0.025876267813146114,9.342845260107424e-06,0.11195918917655945
Kandy Proper,2021-11-10,0.031060464680194855,1.031882766255876e-05,0.11186187714338303
Kandy Proper,2021-11-11,0.030004993081092834,5.383798452385236e-06,0.11412817239761353
Kandy Proper,2021-11-12,0.025854306295514107,1.1228247482601242e-05,0.11268674582242966
Kandy Proper,2021-11-13,0.03172402083873749,1.0665874469850678e-05,0.11649132519960403
Kandy Proper,2021-11-14,0.02966094622388482,3.7565002912742784e-06,0.11595908179879189
Kandy Proper,2021-11-15,0.030458996072411537,1.384283109473472e-05,0.11201861500740051
Kandy Proper,2021-11-16,0.02979292720556259,1.5235809769365005e-05,0.11307036131620407
Kandy Proper,2021-11-17,0.030658648038903873,3.6796733184019104e-05,0.11387498676776886
Kandy Proper,2021-11-18,0.030948806554079056,2.4341021344298497e-05,0.1129583939909935
Kandy Proper,2021-11-19,0.033663960794607796,1.381424499413697e-05,0.11298058927059174
Kandy Proper,2021-11-20,0.031502614418665566,1.2376491213217378e-05,0.11528556793928146
Kandy Proper,2021-11-21,0.0315209316710631,1.5135964531509671e-05,0.11682247122128804
Kandy Proper,2021-11-22,0.03190907835960388,1.359204270556802e-05,0.1100851520895958
Kandy Proper,2021-11-23,0.033230945467948914,1.872452048701234e-05,0.11101102828979492
Kandy Proper,2021-11-24,0.032084830519225865,2.5886556613841094e-05,0.11330105488499005
Kandy Proper,2021-11-25,0.03237593856950601,-3.2138284495886182e-06,0.11562525977691014
Kandy Proper,2021-11-26,0.02718103677034378,2.0210649381624535e-05,0.11224048005210029
Kandy Proper,2021-11-27,0.02662697248160839,1.5086272469488904e-05,0.11511608461538951
Kandy Proper,2021-11-28,0.026904004625976086,1.843218160502147e-05,0.11245450377464294
Kandy Proper,2021-11-29,0.026904004625976086,2.239798050140962e-05,0.11520987997452418
Kandy Proper,2021-11-30,0.026904004625976086,1.0982793355651665e-05,0.1142601561215189
Kandy Proper,2021-12-01,0.02662697248160839,9.60023589868797e-06,0.11501220613718033
Kandy Proper,2021-12-02,0.03085293620824814,1.3121243682689965e-05,0.112908735871315
Kandy Proper,2021-12-03,0.03313770517706871,1.2677711310971063e-05,0.11361437290906906
Kandy Proper,2021-12-04,0.028981925919651985,8.33459671412129e-06,0.11240401864051819
Kandy Proper,2021-12-05,0.030990855768322945,3.652189116110094e-05,0.11348483338952065
Kandy Proper,2021-12-06,0.030990855768322945,1.919312126119621e-05,0.11397283772627513
Kandy Proper,2021-12-07,0.031059815548360348,1.1310445188428275e-05,0.11135783046483994
Kandy Proper,2021-12-08,0.02986612729728222,1.713521487545222e-05,0.11071493476629257
Kandy Proper,2021-12-09,0.029832353815436363,1.6814612536109053e-05,0.11418341100215912
Kandy Proper,2021-12-10,0.02984924055635929,1.7599211787455715e-05,0.11444277813037236
Kandy Proper,2021-12-11,0.02984924055635929,1.1659522897389252e-05,0.112674738590916
Kandy Proper,2021-12-12,0.02984924055635929,1.0472571375430562e-05,0.10942874103784561
